"","Datum","Registratienummer","Productnaam"
"1","24-09-2021","RVG  125876","Abatixent 2,5 mg filmomhulde tabletten"
"2","24-09-2021","RVG  125877","Abatixent 5 mg filmomhulde tabletten"
"3","28-09-2021","RVG  128845//25415","Almogran 12,5mg, filmomhulde tablet"
"4","24-09-2021","RVG  125879","Apixaban 1A Pharma 2,5 mg, filmomhulde tabletten"
"5","24-09-2021","RVG  125880","Apixaban 1A Pharma 5 mg, filmomhulde tabletten"
"6","24-09-2021","RVG  125881","Apixaban Hexal 2,5 mg, filmomhulde tabletten"
"7","24-09-2021","RVG  125882","Apixaban Hexal 5 mg, filmomhulde tabletten"
"8","24-09-2021","RVG  125874","Apixaban Sandoz 2,5 mg, filmomhulde tabletten"
"9","24-09-2021","RVG  125875","Apixaban Sandoz 5 mg, filmomhulde tabletten"
"10","24-09-2021","RVG  127471","Dexmedetomidine Kabi 100 microgram/ml concentraat voor oplossing voor infusie"
"11","20-09-2021","RVG  127643//18194","Flixotide Diskus 250 microgram/dosis, inhalatiepoeder, voorverdeeld"
"12","29-09-2021","RVG  128697//28913","Forlax Junior 4 g, poeder voor drank in sachet"
"13","24-09-2021","RVG  126291","Imeros 3% w/v oplossing voor injectie"
"14","28-09-2021","RVG  128840//13827","Lopid 600 mg, filmomhulde tabletten"
"15","27-09-2021","RVG  128505//34027","Medikinet CR 10 mg capsules met gereguleerde afgifte, hard"
"16","27-09-2021","RVG  128506//34028","Medikinet CR 20 mg capsules met gereguleerde afgifte, hard"
"17","27-09-2021","RVG  128507//34029","Medikinet CR 30 mg capsules met gereguleerde afgifte, hard"
"18","27-09-2021","RVG  128508//34030","Medikinet CR 40 mg capsules met gereguleerde afgifte, hard"
"19","21-09-2021","RVG  128808//111966","Metoject PEN 17,5 mg=0,35 ml, oplossing voor injectie in een voorgevulde pen"
"20","21-09-2021","RVG  128806//111967","Metoject PEN 20 mg=0,4 ml, oplossing voor injectie in een voorgevulde pen"
"21","21-09-2021","RVG  128807//111969","Metoject PEN 25 mg=0,5 ml, oplossing voor injectie in een voorgevulde pen"
"22","21-09-2021","RVG  128809//111971","Metoject PEN 30 mg=0,6 ml, oplossing voor injectie in een voorgevulde pen"
"23","27-09-2021","RVG  126869","Paracetamol Pharmaclan 500 mg filmomhulde tabletten"
"24","27-09-2021","RVG  126158","Perindopril tosilaat/Amlodipine Teva 10 mg/10 mg, tabletten"
"25","27-09-2021","RVG  126157","Perindopril tosilaat/Amlodipine Teva 10 mg/5 mg, tabletten"
"26","27-09-2021","RVG  126156","Perindopril tosilaat/Amlodipine Teva 5 mg/10 mg, tabletten"
"27","27-09-2021","RVG  126155","Perindopril tosilaat/Amlodipine Teva 5 mg/5 mg, tabletten"
"28","22-09-2021","RVG  128801//05352","Symmetrel 100 mg, zachte capsules"
"29","28-09-2021","RVG  127472//115752","Tracydal 20 mg, filmomhulde tabletten"
