"Datum","Registratienummer","Productnaam"
"14-10-2021","RVG  127053","Adcopium 10 microgram inhalatiepoeder, voorverdeeld"
"12-10-2021","RVG  125984","Alluzience 200 Speywood-eenheden/ml oplossing voor injectie"
"20-10-2021","RVG  123890","Ambrisentan Genepharm 10 mg, filmomhulde tabletten"
"20-10-2021","RVG  123889","Ambrisentan Genepharm 5 mg, filmomhulde tabletten"
"20-10-2021","RVG  127434","Apixaban HCS 2,5 mg filmomhulde tabletten"
"20-10-2021","RVG  127435","Apixaban HCS 5 mg filmomhulde tabletten"
"15-10-2021","RVG  128043","Carmustine Teva 100 mg, poeder en oplosmiddel voor concentraat voor oplossing voor infusie"
"14-10-2021","RVG  126975","Deferasirox Aurobindo 180 mg, filmomhulde tabletten"
"14-10-2021","RVG  126976","Deferasirox Aurobindo 360 mg, filmomhulde tabletten"
"14-10-2021","RVG  126974","Deferasirox Aurobindo 90 mg, filmomhulde tabletten"
"14-10-2021","RVG  127018","Diazepam STADA 10 mg tabletten"
"14-10-2021","RVG  127016","Diazepam STADA 2 mg tabletten"
"14-10-2021","RVG  127017","Diazepam STADA 5 mg tabletten"
"19-10-2021","RVG  126290","Dobutamine SUN 5 mg/ml oplossing voor infusie in voorgevulde spuit"
"14-10-2021","RVG  126313","Dorzolamide Brown & Burk zonder conserveermiddel 20 mg/ml oogdruppels, oplossing in verpakking voor eenmalig gebruik"
"12-10-2021","RVG  128720//32727","EpiPen 300 microgram/dosis, oplossing voor injectie in een voorgevulde pen 1 mg/ml"
"12-10-2021","RVG  128888//25549","Femoston Continu 1/5, filmomhulde tabletten 1 mg, 5 mg"
"18-10-2021","RVG  128495//30929","Inegy 10/40, tabletten 10 mg/40 mg"
"14-10-2021","RVG  127912//114598","Metamizol Eureco-Pharma 500 mg/ml, oplossing voor injectie"
"18-10-2021","RVG  129000=30293","Metformine HCl 1A Pharma 1000 mg, filmomhulde tabletten"
"18-10-2021","RVG  126900","Metformine HCl Accord 1000 mg filmomhulde tabletten"
"18-10-2021","RVG  126898","Metformine HCl Accord 500 mg filmomhulde tabletten"
"18-10-2021","RVG  126899","Metformine HCl Accord 850 mg filmomhulde tabletten"
"20-10-2021","RVG  126921","Mykronor 5 microgram/ml, oplossing voor injectie/infusie"
"14-10-2021","RVG  128957//101600","Nexium 10 mg, maagsapresistent granulaat voor orale suspensie"
"14-10-2021","RVG  126186","Ryaltris 25/600 microgram/dosis neusspray, suspensie"
"15-10-2021","RVG  125858","Rybrila 160 microgram/ml drank"
"11-10-2021","RVG  126050","Sitagliptine Xiromed 100 mg filmomhulde tabletten"
"11-10-2021","RVG  126046","Sitagliptine Xiromed 25 mg filmomhulde tabletten"
"11-10-2021","RVG  126049","Sitagliptine Xiromed 50 mg filmomhulde tabletten"
"20-10-2021","RVG  128886//26303","Somatuline AutoSolution 120 mg, oplossing voor injectie in een voorgevulde spuit"
"20-10-2021","RVG  128887//26303","Somatuline AutoSolution 120 mg, oplossing voor injectie in een voorgevulde spuit"
"20-10-2021","RVG  128885//26302","Somatuline AutoSolution 90 mg, oplossing voor injectie in een voorgevulde spuit"
"20-10-2021","RVG  128984//00027","Sustanon 250 mg/ml, oplossing voor injectie"
"13-10-2021","RVG  126707","Testogel 40,5 mg, gel voor transdermaal gebruik in sachet"
"14-10-2021","RVG  126836","Tiotropium Elpen 10 microgram inhalatiepoeder, voorverdeeld"
"18-10-2021","RVG  128908//07887","Ubretid 5 mg tabletten"
"20-10-2021","RVG  128956//120048","Zovirax Duo 50 mg/g en 10 mg/g, crème"
